ts,cpuA%,cpuB%,cpuFleet%,cpuPG%,hikA_act,hikA_pend,hikB_act,hikB_pend,pg_commit_per_s,active_waits
21:14:05,58,44,22,54,0.0,0.0,2.0,0.0,1427,""
21:14:15,57,44,21,53,0.0,0.0,1.0,0.0,1423,""
21:14:25,57,44,22,53,6.0,0.0,2.0,0.0,1421,""
21:14:36,63,50,26,59,1.0,0.0,1.0,0.0,1729,""
21:14:46,68,53,29,64,2.0,0.0,1.0,0.0,1978,""
21:14:57,76,60,33,73,0.0,0.0,0.0,0.0,2092,""
21:15:07,73,59,32,69,6.0,0.0,0.0,0.0,2254,""
21:15:18,74,59,32,70,1.0,0.0,1.0,0.0,2136,""
21:15:28,76,61,33,72,0.0,0.0,0.0,0.0,2114,""
21:15:39,76,59,33,77,0.0,0.0,0.0,0.0,2199,""
21:15:49,61,46,24,51,2.0,0.0,0.0,0.0,1681,""
21:15:59,57,43,22,53,4.0,0.0,2.0,0.0,1471,""
21:16:10,65,52,28,62,4.0,0.0,2.0,0.0,1772,""
21:16:20,75,59,33,70,1.0,0.0,0.0,0.0,2166,""
21:16:31,73,59,32,69,0.0,0.0,0.0,0.0,2271,""
21:16:41,73,59,32,69,0.0,0.0,0.0,0.0,2207,""
21:16:52,73,59,32,68,5.0,0.0,0.0,0.0,2256,""
21:17:02,70,55,30,65,4.0,0.0,0.0,0.0,1979,""
21:17:13,58,44,22,53,6.0,0.0,0.0,0.0,1476,""
21:17:23,62,48,25,57,1.0,0.0,2.0,0.0,1612,""
21:17:33,69,55,30,64,2.0,0.0,0.0,0.0,1971,""
21:17:44,76,58,32,118,3.0,0.0,0.0,0.0,2276,""
21:17:54,73,58,32,18,4.0,0.0,0.0,0.0,2184,""
21:18:05,73,58,32,68,1.0,0.0,0.0,0.0,2258,""
21:18:15,72,57,31,67,2.0,0.0,4.0,0.0,2195,""
21:18:26,75,59,33,74,2.0,0.0,0.0,0.0,2099,""
21:18:36,60,45,23,55,4.0,0.0,4.0,0.0,1524,""
21:18:47,56,43,21,59,0.0,0.0,1.0,0.0,1418,""
21:18:57,57,44,22,46,0.0,0.0,1.0,0.0,1439,""
21:19:08,57,43,22,52,4.0,0.0,3.0,0.0,1394,""
21:19:18,57,43,22,52,0.0,0.0,1.0,0.0,1459,""
21:19:29,68,54,29,64,1.0,0.0,1.0,0.0,1844,""
21:19:39,75,60,33,78,0.0,0.0,1.0,0.0,2159,""
21:19:49,74,56,31,64,0.0,0.0,0.0,0.0,2208,""
21:20:00,76,60,33,74,1.0,0.0,1.0,0.0,2122,""
21:20:10,73,58,32,67,0.0,0.0,0.0,0.0,2229,""
21:20:21,72,56,31,-253,5.0,0.0,3.0,0.0,2172,""
21:20:31,57,43,22,53,5.0,0.0,2.0,0.0,1460,""
21:20:42,57,43,21,51,2.0,0.0,2.0,0.0,1381,""
21:20:52,57,44,22,53,2.0,0.0,1.0,0.0,1441,""
21:21:03,57,43,21,-608,0.0,0.0,2.0,0.0,1425,""
21:21:13,57,44,22,53,3.0,0.0,2.0,0.0,1402,""
21:21:23,70,55,30,66,0.0,0.0,2.0,0.0,2056,""
21:21:34,72,57,31,-394,0.0,0.0,4.0,0.0,2083,""
21:21:44,77,60,33,118,0.0,0.0,0.0,0.0,2288,""
21:21:55,77,60,32,20,3.0,0.0,1.0,0.0,2189,""
21:22:06,74,58,32,69,0.0,0.0,1.0,0.0,2283,""
21:22:16,74,59,32,-945,5.0,0.0,1.0,0.0,2165,""
21:22:26,58,44,22,-735,4.0,0.0,0.0,0.0,1463,""
21:22:37,55,42,21,50,2.0,0.0,0.0,0.0,1409,""
21:22:47,55,42,21,-215,1.0,0.0,3.0,0.0,1422,""
21:22:58,57,43,22,-1347,1.0,0.0,2.0,0.0,1457,""
21:23:08,57,44,22,53,3.0,0.0,1.0,0.0,1430,""
21:23:19,62,48,26,60,6.0,0.0,0.0,0.0,1640,""
21:23:29,75,60,33,73,1.0,0.0,0.0,0.0,2080,""
21:23:40,74,58,32,83,0.0,0.0,0.0,0.0,2219,""
21:23:50,78,60,33,56,1.0,0.0,4.0,0.0,2247,""
21:24:01,74,59,32,69,0.0,0.0,1.0,0.0,2221,""
21:24:11,74,58,32,69,2.0,0.0,3.0,0.0,2190,""
21:24:22,58,44,22,-65,5.0,0.0,3.0,0.0,1462,""
21:24:32,57,43,22,52,4.0,0.0,0.0,0.0,1423,""
21:24:42,57,44,22,52,1.0,0.0,1.0,0.0,1406,""
21:24:53,61,46,24,56,0.0,0.0,0.0,0.0,1611,""
21:25:03,72,57,31,67,1.0,0.0,0.0,0.0,2103,""
21:25:14,75,59,33,71,1.0,0.0,0.0,0.0,2202,""
21:25:24,76,60,33,72,4.0,0.0,1.0,0.0,2157,""
21:25:35,75,60,33,70,1.0,0.0,1.0,0.0,2225,""
21:25:45,76,58,32,-3274,2.0,0.0,2.0,0.0,2204,""
21:25:56,60,46,24,-77,4.0,0.0,3.0,0.0,1626,""
21:26:06,56,43,22,-8,0.0,0.0,0.0,0.0,1427,""
21:26:17,57,43,22,54,1.0,0.0,2.0,0.0,1409,""
21:26:27,66,52,28,-1924,3.0,0.0,0.0,0.0,1831,""
21:26:38,72,57,31,69,0.0,0.0,0.0,0.0,2063,""
21:26:48,76,59,33,72,0.0,0.0,0.0,0.0,2189,""
21:26:59,74,59,32,69,1.0,0.0,0.0,0.0,2231,""
21:27:09,74,59,33,70,0.0,0.0,0.0,0.0,2218,""
21:27:20,75,60,33,72,0.0,0.0,1.0,0.0,2160,""
21:27:30,75,59,37,84,5.0,0.0,4.0,0.0,1918,""
21:27:41,110,84,47,275,4.0,0.0,6.0,0.0,1005,""
21:27:52,119,90,35,366,2.0,0.0,1.0,0.0,1055,""
21:28:03,114,89,38,203,1.0,0.0,1.0,0.0,1123,""
21:28:13,113,89,37,302,8.0,0.0,0.0,0.0,1254,""
21:28:24,109,87,34,295,3.0,0.0,0.0,0.0,1238,""
21:28:35,110,87,35,297,1.0,0.0,1.0,0.0,1245,""
21:28:45,125,95,37,372,3.0,0.0,0.0,0.0,1266,""
21:28:56,113,89,35,261,0.0,0.0,7.0,0.0,1234,""
21:29:07,110,87,35,298,0.0,0.0,2.0,0.0,1252,""
21:29:18,113,89,34,296,6.0,0.0,5.0,0.0,1201,""
21:29:28,103,78,28,242,4.0,0.0,1.0,0.0,997,""
21:29:39,99,77,28,255,1.0,0.0,4.0,0.0,1053,""
21:29:50,131,99,38,415,3.0,0.0,6.0,0.0,1250,""
21:30:01,117,90,35,210,2.0,0.0,6.0,0.0,1234,""
21:30:11,109,87,34,297,6.0,0.0,3.0,0.0,1252,""
21:30:22,110,87,35,295,4.0,0.0,2.0,0.0,1265,""
21:30:33,108,86,34,295,4.0,0.0,2.0,0.0,1225,""
21:30:44,121,92,36,350,2.0,0.0,5.0,0.0,1266,""
21:30:54,129,97,38,291,5.0,0.0,5.0,0.0,1283,""
21:31:05,108,86,34,295,9.0,0.0,1.0,0.0,1223,""
21:31:16,103,79,29,247,7.0,0.0,2.0,0.0,1119,""
21:31:26,94,72,27,220,13.0,0.0,4.0,0.0,1010,""
21:31:37,104,83,32,283,0.0,0.0,0.0,0.0,1215,""
21:31:48,132,99,38,407,4.0,0.0,1.0,0.0,1273,""
21:31:59,123,94,36,350,4.0,0.0,3.0,0.0,1239,""
21:32:09,125,95,37,352,5.0,0.0,2.0,0.0,1297,""
21:32:20,120,93,36,163,1.0,0.0,3.0,0.0,1280,""
21:32:31,107,85,34,295,8.0,0.0,0.0,0.0,1223,""
21:32:42,104,81,31,289,3.0,0.0,3.0,0.0,1156,""
21:32:52,110,82,31,332,2.0,0.0,3.0,0.0,1068,""
21:33:03,104,81,32,198,5.0,0.0,0.0,0.0,1147,""
21:33:14,111,88,35,301,1.0,0.0,2.0,0.0,1249,""
21:33:25,112,88,34,300,1.0,0.0,5.0,0.0,1279,""
21:33:35,108,86,34,295,3.0,0.0,3.0,0.0,1221,""
21:33:46,129,96,38,389,3.0,0.0,2.0,0.0,1277,""
21:33:57,131,98,38,395,1.0,0.0,1.0,0.0,1290,""
21:34:08,121,92,36,177,1.0,0.0,4.0,0.0,1256,""
21:34:18,104,80,30,255,4.0,0.0,1.0,0.0,1123,""
21:34:29,97,74,27,232,0.0,0.0,3.0,0.0,1070,""
21:34:40,109,85,33,296,0.0,0.0,5.0,0.0,1197,""
21:34:51,130,98,39,395,8.0,0.0,1.0,0.0,1229,""
21:35:01,122,93,37,248,3.0,0.0,1.0,0.0,1282,""
21:35:12,108,85,35,297,1.0,0.0,4.0,0.0,1239,""
21:35:23,111,87,34,302,0.0,0.0,5.0,0.0,1246,""
21:35:34,109,86,34,297,3.0,0.0,4.0,0.0,1263,""
21:35:44,119,92,35,360,5.0,0.0,6.0,0.0,1219,""
21:35:55,103,78,28,325,2.0,0.0,0.0,0.0,1002,""
21:36:06,99,76,28,127,2.0,0.0,1.0,0.0,1061,""
21:36:17,110,87,35,302,0.0,0.0,4.0,0.0,1264,""
21:36:27,108,86,34,298,2.0,0.0,1.0,0.0,1226,""
21:36:38,114,89,35,305,5.0,0.0,1.0,0.0,1278,""
21:36:49,130,98,38,389,6.0,0.0,1.0,0.0,1291,""
21:37:00,127,97,37,268,4.0,0.0,1.0,0.0,1215,""
21:37:10,110,88,34,303,6.0,0.0,1.0,0.0,1272,""
21:37:21,106,82,32,270,8.0,0.0,5.0,0.0,1189,""
21:37:32,99,75,27,229,2.0,0.0,6.0,0.0,1027,""
21:37:42,106,83,32,306,3.0,0.0,4.0,0.0,1143,""
21:37:53,128,98,37,-1318,1.0,0.0,3.0,0.0,1270,""
21:38:04,132,100,38,220,5.0,0.0,4.0,0.0,1212,""
21:38:15,121,94,36,318,4.0,0.0,1.0,0.0,1232,""
21:38:25,124,96,36,321,8.0,0.0,5.0,0.0,1251,""
21:38:36,113,89,35,302,1.0,0.0,4.0,0.0,1233,""
21:38:47,115,89,34,363,7.0,0.0,5.0,0.0,1176,""
21:38:58,100,76,28,266,9.0,0.0,2.0,0.0,1027,""
21:39:08,101,79,30,279,6.0,0.0,0.0,0.0,1116,""
21:39:19,115,89,35,207,0.0,0.0,3.0,0.0,1238,""
21:39:30,109,87,34,300,4.0,0.0,3.0,0.0,1232,""
21:39:40,113,89,35,318,5.0,0.0,5.0,0.0,1250,""
21:39:51,128,97,37,386,2.0,0.0,1.0,0.0,1266,""
21:40:02,132,99,38,392,6.0,0.0,0.0,0.0,1281,""
21:40:13,118,91,35,176,1.0,0.0,0.0,0.0,1223,""
21:40:23,99,75,28,232,4.0,0.0,4.0,0.0,1056,""
21:40:34,94,74,27,244,3.0,0.0,6.0,0.0,1048,""
21:40:45,123,93,36,369,4.0,0.0,1.0,0.0,1246,""
21:40:56,124,96,37,387,4.0,0.0,1.0,0.0,1262,""
21:41:06,111,87,35,185,3.0,0.0,1.0,0.0,1247,""
21:41:17,110,87,34,300,5.0,0.0,0.0,0.0,1247,""
21:41:28,110,87,34,302,1.0,0.0,6.0,0.0,1247,""
21:41:39,110,88,34,302,1.0,0.0,4.0,0.0,1241,""
21:41:49,111,83,31,351,5.0,0.0,1.0,0.0,1083,""
21:42:00,95,73,27,152,0.0,0.0,4.0,0.0,1010,""
21:42:11,105,83,32,289,2.0,0.0,5.0,0.0,1206,""
21:42:22,109,86,34,-3897,9.0,0.0,3.0,0.0,1235,""
21:42:32,109,87,34,-890,5.0,0.0,1.0,0.0,1262,""
21:42:43,119,92,36,-1160,9.0,0.0,3.0,0.0,1261,""
21:42:54,129,97,38,-1367,3.0,0.0,3.0,0.0,1240,""
21:43:05,129,98,38,386,12.0,0.0,1.0,0.0,1289,""
21:43:15,110,83,31,129,9.0,0.0,3.0,0.0,1115,""
21:43:26,92,71,26,-420,1.0,0.0,0.0,0.0,989,""
21:43:37,105,84,33,293,9.0,0.0,0.0,0.0,1219,""
21:43:47,123,95,36,392,2.0,0.0,6.0,0.0,1224,""
21:43:58,118,91,36,245,10.0,0.0,4.0,0.0,1252,""
21:44:09,111,88,35,301,0.0,0.0,3.0,0.0,1262,""
21:44:20,112,88,34,305,2.0,0.0,3.0,0.0,1212,""
21:44:30,123,95,36,317,7.0,0.0,3.0,0.0,1263,""
21:44:41,105,82,32,-1253,6.0,0.0,3.0,0.0,1173,""
21:44:52,100,77,27,-4,7.0,0.0,6.0,0.0,993,""
21:45:02,107,83,31,192,0.0,0.0,3.0,0.0,1155,""
21:45:13,109,87,34,300,8.0,0.0,0.0,0.0,1265,""
21:45:24,110,87,35,-1570,1.0,0.0,4.0,0.0,1228,""
21:45:34,109,86,35,-877,1.0,0.0,3.0,0.0,1277,""
21:45:45,117,92,35,356,6.0,0.0,1.0,0.0,1252,""
21:45:56,126,97,37,-3561,2.0,0.0,0.0,0.0,1253,""
21:46:07,121,95,36,365,4.0,0.0,4.0,0.0,1268,""
21:46:17,97,74,27,-862,4.0,0.0,5.0,0.0,1025,""
21:46:28,98,77,28,-2046,3.0,0.0,1.0,0.0,1063,""
21:46:39,127,98,38,-692,3.0,0.0,1.0,0.0,1262,""
21:46:50,128,99,38,326,2.0,0.0,2.0,0.0,1271,""
21:47:00,114,90,35,306,2.0,0.0,2.0,0.0,1239,""
21:47:11,111,88,34,-3420,9.0,0.0,0.0,0.0,1250,""
21:47:22,110,87,35,302,1.0,0.0,1.0,0.0,1244,""
21:47:32,111,87,34,305,1.0,0.0,6.0,0.0,1235,""
21:47:43,105,79,30,302,6.0,0.0,1.0,0.0,1096,""
21:47:54,100,78,28,306,8.0,0.0,1.0,0.0,1024,""
21:48:05,110,86,32,308,4.0,0.0,5.0,0.0,1149,""
21:48:16,120,93,36,-1463,0.0,0.0,4.0,0.0,1267,""
21:48:26,115,90,35,200,1.0,0.0,3.0,0.0,1218,""
21:48:37,112,88,35,-52,2.0,0.0,4.0,0.0,1240,""
21:48:48,125,95,37,-320,5.0,0.0,0.0,0.0,1274,""
21:48:59,124,95,36,405,1.0,0.0,4.0,0.0,1220,""
21:49:09,102,78,28,119,3.0,0.0,2.0,0.0,1030,""
21:49:20,92,71,26,-1172,0.0,0.0,5.0,0.0,1012,""
21:49:31,99,78,30,262,2.0,0.0,4.0,0.0,1114,""
21:49:41,116,91,36,328,4.0,0.0,2.0,0.0,1252,""
21:49:52,125,97,37,377,5.0,0.0,4.0,0.0,1250,""
21:50:03,127,97,37,372,5.0,0.0,2.0,0.0,1275,""
21:50:14,116,90,35,205,5.0,0.0,2.0,0.0,1259,""
21:50:24,109,86,34,296,1.0,0.0,3.0,0.0,1206,""
21:50:35,103,81,31,282,1.0,0.0,3.0,0.0,1174,""
21:50:46,120,93,36,-1083,9.0,0.0,5.0,0.0,1249,""
21:50:57,115,89,35,-731,0.0,0.0,0.0,0.0,1224,""
21:51:07,110,87,34,301,7.0,0.0,0.0,0.0,1256,""
21:51:18,103,81,31,276,3.0,0.0,2.0,0.0,1147,""
21:51:29,111,88,34,304,5.0,0.0,0.0,0.0,1231,""
21:51:40,112,88,35,317,10.0,0.0,1.0,0.0,1267,""
21:51:50,129,99,37,420,3.0,0.0,2.0,0.0,1248,""
21:52:01,119,91,35,366,6.0,0.0,8.0,0.0,1166,""
21:52:12,109,85,32,136,7.0,0.0,0.0,0.0,1218,""
21:52:23,108,86,34,300,1.0,0.0,4.0,0.0,1211,""
21:52:33,109,87,34,301,8.0,0.0,1.0,0.0,1252,""
21:52:44,113,88,34,330,0.0,0.0,0.0,0.0,1244,""
21:52:55,108,83,32,265,5.0,0.0,3.0,0.0,1102,""
21:53:05,111,88,35,304,6.0,0.0,0.0,0.0,1267,""
21:53:16,110,87,34,301,5.0,0.0,3.0,0.0,1264,""
21:53:27,112,88,35,304,5.0,0.0,4.0,0.0,1219,""
21:53:38,101,79,31,-1244,1.0,0.0,2.0,0.0,1159,""
21:53:48,123,95,36,367,1.0,0.0,0.0,0.0,1264,""
